361,"Siegerland Airport","Siegerland","Germany",50.7077,8.08297
362,"Hamburg-Finkenwerder Airport","Hamburg","Germany",53.5353,9.83556
363,"Kiel-Holtenau Airport","Kiel","Germany",54.3794,10.1453
364,"Lübeck Blankensee Airport","Luebeck","Germany",53.8054,10.7192
365,"Flugplatz Dahlemer Binz","Dahlemer Binz","Germany",50.4056,6.52889
366,"Meinerzhagen Airport","Meinerzhagen","Germany",51.1,7.6
367,"Arnsberg-Menden Airport","Arnsberg","Germany",51.4839,7.89833
368,"Essen Mulheim Airport","Essen","Germany",51.4023,6.93733
369,"Bielefeld Airport","Bielefeld","Germany",51.9647,8.54444
370,"Mönchengladbach Airport","Moenchengladbach","Germany",51.2303,6.50444
371,"Paderborn Lippstadt Airport","Paderborn","Germany",51.6141,8.61632
372,"Stadtlohn-Vreden Airport","Stadtlohn","Germany",51.9958,6.84056
373,"Dortmund Airport","Dortmund","Germany",51.5183,7.61224
374,"Augsburg Airport","Augsburg","Germany",48.4253,10.9317
375,"Biberach a.d. Riß Airfield","Biberach","Germany",48.1111,9.76278
376,"Eggenfelden Airport","Eggenfelden","Germany",48.3961,12.7236
377,"Mindelheim-Mattsies Airfield","Mindelheim","Germany",48.1069,10.525
378,"Oberpfaffenhofen Airport","Oberpfaffenhofen","Germany",48.0814,11.2831
379,"Straubing Airport","Straubing","Germany",48.9008,12.5167
380,"Vilshofen Airport","Vilshofen","Germany",48.635,13.1956
381,"Leutkirch-Unterzeil Airport","Leutkirch","Germany",47.8589,10.0142
382,"Friedrichshafen Airport","Friedrichshafen","Germany",47.6713,9.51149
383,"Schwerin Parchim Airport","Parchim","Germany",53.427,11.7834
384,"Stendal-Borstel Airport","Stendal","Germany",52.6289,11.8186
385,"Aalen-Heidenheim/Elchingen Airport","Aalen-heidenheim","Germany",48.7778,10.2647
386,"Bayreuth Airport","Bayreuth","Germany",49.985,11.64
387,"Burg Feuerstein Airport","Burg Feuerstein","Germany",49.7942,11.1336
388,"Hof-Plauen Airport","Hof","Germany",50.2886,11.8564
389,"Haßfurt-Schweinfurt Airport","Hassfurt","Germany",50.0181,10.5294
390,"Koblenz-Winningen Airfield","Koblenz","Germany",50.3256,7.52861
391,"Trier-Föhren Airport","Trier","Germany",49.8639,6.7875
392,"Speyer Airfield","Speyer","Germany",49.3047,8.45139
393,"Zweibrücken Airport","Zweibruecken","Germany",49.2094,7.40056
394,"Donaueschingen-Villingen Airport","Donaueschingen","Germany",47.9733,8.52222
395,"Freiburg i. Br. Airport","Freiburg","Germany",48.0228,7.8325
